DauVao,Nhan
Hôm nay trời đẹp làm sao,Tich_Cuc
Ôi cuộc sống thật tươi đẹp,Tich_Cuc
Ra đường vui ơi là vui,Tich_Cuc
Team nghiện bài này rồi điểm danh,Tich_Cuc
Bật tốc độ 1.25 nghe và cảm nhận hay cho 1 like,Tich_Cuc
hay,Tich_Cuc
Vì chị này mà mình đi học tiếng trung nè,Tich_Cuc
Mọi người có gì ghé thăm kênh mình ủng hộ mình với nha,Tich_Cuc
Á hjhj í haha,Tich_Cuc
Ngày hạnh phúc,Tich_Cuc
Chị đẹp quá,Tich_Cuc
Bởi vì gặp người đúng lúc nên mới có thể lưu những ký ức tươi đẹp,Tich_Cuc
Chào chị ni nha chúc chị buổi tối vv ,Tich_Cuc
"Qua hay ạ, luôn ủng hộ",Tich_Cuc
giọng hay quá. nghiện rồi﻿,Tich_Cuc
Càng ngày càng hay,Tich_Cuc
Ko từ nào diễn tả đc cảm xúc,Tich_Cuc
Quá hay và ý nghĩa,Tich_Cuc
Nghe mà hoài niệm dã man,Tich_Cuc
Xem đi xem lại vẫn thấy hay,Tich_Cuc
"em đăng ký kênh chị rồi , mà chúc chị đạt 100 lượt sớm",Tich_Cuc
"Cứ đến đêm lại nghe nguyên bài này,cảm giác da diết đến vô cùng",Tich_Cuc
"khi tôi nghe bài này bỗng nhiên chợt nhớ mẹ, nhớ tiếng mẹ kêu về ăn cơm nhớ tiếng ve kêu mùa hè, nhớ những năm tháng ngồi dưới mái trường, nhớ tiếng thầy cô đang giảng bài, nhớ tiếng cười đùa của những đứa bạn",Tich_Cuc
Ồ sự chú ý của ta đã va phải vào nụ cười của nàng  rồi bùm lên trong tim ta như 1 đốm lửa vàng,Tich_Cuc
Nghe đi nghe lại cả mấy trục lần k chán,Tich_Cuc
Hát quá hay anh ơi,Tich_Cuc
Nhìn dễ thương ghê,Tich_Cuc
Món ăn Việt Nam là nhất rồi bạn ơi. Nhiều món ngon lắm,Tich_Cuc
bài hát hay quá mê quá thích lắm anh ạ,Tich_Cuc
Mỗi ngày là một món quà mà cuộc sống đã ban tặng cho chúng ta,Tich_Cuc
"Điều quan trọng ko phải vị trí ta đang đứng, mà ở hướng ta đang đi",Tich_Cuc
Niềm tin là một sức mạnh có thể biến điều ko thể thành điều có thể,Tich_Cuc
"Người ta có thể quên đi điều bạn nói, nhưng những gì bạn để lại trong lòng họ thì ko bao giờ nhạt phai",Tich_Cuc
Thật dễ nuối tiếc về một điều gì đó đã mất đi nhưng sẽ rất khó nhận ra và trân trọng những gì ta đang có,Tich_Cuc
Hãy nhìn ra thế giới xung quanh để thấy rằng bạn vẫn còn rất hạnh phúc so với những đau khổ mà người khác đang phải gánh chịu,Tich_Cuc
chất lượng tốt lắm,Tich_Cuc
Ngon lắm,Tich_Cuc
quá tốt,Tich_Cuc
Chán đời quá,Tieu_Cuc
dỡ tệ mọi người ơi,Tieu_Cuc
chán thật đấy,Tieu_Cuc
việt nam là nước tôi ghét nhất,Tieu_Cuc
cuộc sống thật tẻ nhạt,Tieu_Cuc
Muốn nhảy cầu quá,Tieu_Cuc
cuộc sống thật mệt mỏi,Tieu_Cuc
Làm sao kiếm tiền nhanh ta,Tieu_Cuc
lười quá à,Tieu_Cuc
Trời mắc kinh khủng,Tieu_Cuc
làm sao để qua đây,Tieu_Cuc
Hôm qua đi trên đường gặp cướp đúng sợ luôn.,Tieu_Cuc
Đi bán súng mà thấy tội thằn mua ghê,Tieu_Cuc
kém vãi,Tieu_Cuc
nhìn quá đáng thiệt,Tieu_Cuc
Siêu ghét thằng đó,Tieu_Cuc
hổng biết làm gì luôn,Tieu_Cuc
Sao h nhỉ,Tieu_Cuc
chất lượng kém,Tieu_Cuc
mất vệ sinh quá,Tieu_Cuc